input_file	tool	model	split	prob	n_seqs	n_pos_seqs	n_neg_seqs	FN_seq	TN_seq	TP_start_seq	FP_start_seq	Prec_start_seq	Rec_start_seq	F1-s_start_seq	Spec_start_seq	Acc_start_seq	TP_full_seq	FP_full_seq	Prec_full_seq	Rec_full_seq	F1-s_full_seq	Spec_full_seq	Acc_full_seq	n_real_cdss	n_pred_cdss	TP_start_cds	FP_start_cds	FN_start_cds	Prec_start_cds	Rec_start_cds	F1-s_start_cds	TP_full_cds	FP_full_cds	FN_full_cds	Prec_full_cds	Rec_full_cds	F1-s_full_cds	pred_secs
train_TransCirc_RP_PP_evidence_hsa.fa	cirCodAn	VERT_circ	0	0.01	3139	3139	0	966	0	1974	199	90.84	67.14	77.21	0.0	0.0	1974	199	90.84	67.14	77.21	0.0	0.0	4409	2173	1974	199	2435	90.84	44.77	59.98	1974	199	2435	90.84	44.77	59.98	4.7
train_TransCirc_RP_PP_evidence_hsa.fa	cirCodAn	VERT_circ	0	0.02	3139	3139	0	849	0	2111	179	92.18	71.32	80.42	0.0	0.0	2111	179	92.18	71.32	80.42	0.0	0.0	4409	2290	2111	179	2298	92.18	47.88	63.02	2111	179	2298	92.18	47.88	63.02	4.8
train_TransCirc_RP_PP_evidence_hsa.fa	cirCodAn	VERT_circ	0	0.03	3139	3139	0	773	0	2200	166	92.98	74.0	82.41	0.0	0.0	2200	166	92.98	74.0	82.41	0.0	0.0	4409	2366	2200	166	2209	92.98	49.9	64.94	2200	166	2209	92.98	49.9	64.94	5.0
train_TransCirc_RP_PP_evidence_hsa.fa	cirCodAn	VERT_circ	0	0.04	3139	3139	0	729	0	2254	156	93.53	75.56	83.59	0.0	0.0	2254	156	93.53	75.56	83.59	0.0	0.0	4409	2410	2254	156	2155	93.53	51.12	66.11	2254	156	2155	93.53	51.12	66.11	5.1
train_TransCirc_RP_PP_evidence_hsa.fa	cirCodAn	VERT_circ	0	0.05	3139	3139	0	701	0	2299	139	94.3	76.63	84.55	0.0	0.0	2299	139	94.3	76.63	84.55	0.0	0.0	4409	2438	2299	139	2110	94.3	52.14	67.15	2299	139	2110	94.3	52.14	67.15	5.1
train_TransCirc_RP_PP_evidence_hsa.fa	cirCodAn	VERT_circ	0	0.06	3139	3139	0	687	0	2321	131	94.66	77.16	85.02	0.0	0.0	2321	131	94.66	77.16	85.02	0.0	0.0	4409	2452	2321	131	2088	94.66	52.64	67.66	2321	131	2088	94.66	52.64	67.66	5.2
train_TransCirc_RP_PP_evidence_hsa.fa	cirCodAn	VERT_circ	0	0.07	3139	3139	0	677	0	2340	122	95.04	77.56	85.42	0.0	0.0	2340	122	95.04	77.56	85.42	0.0	0.0	4409	2462	2340	122	2069	95.04	53.07	68.11	2340	122	2069	95.04	53.07	68.11	5.4
train_TransCirc_RP_PP_evidence_hsa.fa	cirCodAn	VERT_circ	0	0.08	3139	3139	0	671	0	2355	113	95.42	77.83	85.73	0.0	0.0	2355	113	95.42	77.83	85.73	0.0	0.0	4409	2468	2355	113	2054	95.42	53.41	68.49	2355	113	2054	95.42	53.41	68.49	5.3
train_TransCirc_RP_PP_evidence_hsa.fa	cirCodAn	VERT_circ	0	0.09	3139	3139	0	657	0	2376	106	95.73	78.34	86.17	0.0	0.0	2376	106	95.73	78.34	86.17	0.0	0.0	4409	2482	2376	106	2033	95.73	53.89	68.96	2376	106	2033	95.73	53.89	68.96	5.3
train_TransCirc_RP_PP_evidence_hsa.fa	cirCodAn	VERT_circ	0	0.1	3139	3139	0	653	0	2389	97	96.1	78.53	86.43	0.0	0.0	2389	97	96.1	78.53	86.43	0.0	0.0	4409	2486	2389	97	2020	96.1	54.18	69.3	2389	97	2020	96.1	54.18	69.3	5.6
train_TransCirc_RP_PP_evidence_hsa.fa	cirCodAn	VERT_circ	0	0.11	3139	3139	0	649	0	2398	92	96.31	78.7	86.62	0.0	0.0	2398	92	96.31	78.7	86.62	0.0	0.0	4409	2490	2398	92	2011	96.31	54.39	69.52	2398	92	2011	96.31	54.39	69.52	5.1
train_TransCirc_RP_PP_evidence_hsa.fa	cirCodAn	VERT_circ	0	0.12	3139	3139	0	648	0	2405	86	96.55	78.77	86.76	0.0	0.0	2405	86	96.55	78.77	86.76	0.0	0.0	4409	2491	2405	86	2004	96.55	54.55	69.71	2405	86	2004	96.55	54.55	69.71	5.2
train_TransCirc_RP_PP_evidence_hsa.fa	cirCodAn	VERT_circ	0	0.13	3139	3139	0	647	0	2406	86	96.55	78.81	86.78	0.0	0.0	2406	86	96.55	78.81	86.78	0.0	0.0	4409	2492	2406	86	2003	96.55	54.57	69.73	2406	86	2003	96.55	54.57	69.73	5.4
train_TransCirc_RP_PP_evidence_hsa.fa	cirCodAn	VERT_circ	0	0.14	3139	3139	0	646	0	2410	83	96.67	78.86	86.86	0.0	0.0	2410	83	96.67	78.86	86.86	0.0	0.0	4409	2493	2410	83	1999	96.67	54.66	69.83	2410	83	1999	96.67	54.66	69.83	5.6
train_TransCirc_RP_PP_evidence_hsa.fa	cirCodAn	VERT_circ	0	0.15	3139	3139	0	645	0	2412	82	96.71	78.9	86.9	0.0	0.0	2412	82	96.71	78.9	86.9	0.0	0.0	4409	2494	2412	82	1997	96.71	54.71	69.88	2412	82	1997	96.71	54.71	69.88	5.7
train_TransCirc_RP_PP_evidence_hsa.fa	cirCodAn	VERT_circ	0	0.16	3139	3139	0	641	0	2418	80	96.8	79.05	87.03	0.0	0.0	2418	80	96.8	79.05	87.03	0.0	0.0	4409	2498	2418	80	1991	96.8	54.84	70.02	2418	80	1991	96.8	54.84	70.02	5.7
train_TransCirc_RP_PP_evidence_hsa.fa	cirCodAn	VERT_circ	0	0.17	3139	3139	0	639	0	2422	78	96.88	79.12	87.11	0.0	0.0	2422	78	96.88	79.12	87.11	0.0	0.0	4409	2500	2422	78	1987	96.88	54.93	70.11	2422	78	1987	96.88	54.93	70.11	5.5
