input_file	tool	model	prob	n_seqs	n_pos_seqs	n_neg_seqs	FN_seq	TN_seq	TP_start_seq	FP_start_seq	Prec_start_seq	Rec_start_seq	F1-s_start_seq	Spec_start_seq	Acc_start_seq	TP_full_seq	FP_full_seq	Prec_full_seq	Rec_full_seq	F1-s_full_seq	Spec_full_seq	Acc_full_seq	n_real_cdss	n_pred_cdss	TP_start_cds	FP_start_cds	FN_start_cds	Prec_start_cds	Rec_start_cds	F1-s_start_cds	TP_full_cds	FP_full_cds	FN_full_cds	Prec_full_cds	Rec_full_cds	F1-s_full_cds	pred_secs
02_TransCirc_MS_evidence_hsa.fa	cirCodAn	VERT_circ	0.5	137	137	0	34	0	101	2	98.06	74.81	84.87	0.0	0.0	101	2	98.06	74.81	84.87	0.0	0.0	203	103	101	2	102	98.06	49.75	66.01	101	2	102	98.06	49.75	66.01	0.9
02_TransCirc_MS_evidence_hsa.fa	CodAn	VERT_full		137	137	0	49	0	77	11	87.5	61.11	71.96	0.0	0.0	0	88	0.0	0.0	0.0	0.0	0.0	203	88	77	11	126	87.5	37.93	52.92	0	88	203	0.0	0.0	0.0	0.9
02_TransCirc_MS_evidence_hsa.fa	CodAn	VERT_partial		137	137	0	6	0	3	128	2.29	33.33	4.29	0.0	0.0	0	131	0.0	0.0	0.0	0.0	0.0	203	131	3	128	200	2.29	1.48	1.8	0	131	203	0.0	0.0	0.0	0.9
02_TransCirc_MS_evidence_hsa.fa	ORFfinder			137	137	0	2	0	59	76	43.7	96.72	60.2	0.0	0.0	0	135	0.0	0.0	0.0	0.0	0.0	203	575	65	510	138	11.3	32.02	16.71	0	575	203	0.0	0.0	0.0	0.2
02_TransCirc_MS_evidence_hsa.fa	FragGeneScan			137	137	0	1	0	3	133	2.21	75.0	4.29	0.0	0.0	0	136	0.0	0.0	0.0	0.0	0.0	203	142	3	139	200	2.11	1.48	1.74	0	142	203	0.0	0.0	0.0	0.3
02_TransCirc_MS_evidence_hsa.fa	CPAT			137	137	0	22	0	101	14	87.83	82.11	84.87	0.0	0.0	0	115	0.0	0.0	0.0	0.0	0.0	203	115	101	14	102	87.83	49.75	63.52	0	115	203	0.0	0.0	0.0	0.6
02_TransCirc_MS_evidence_hsa.fa	CPC2			137	137	0	91	0	43	3	93.48	32.09	47.78	0.0	0.0	0	46	0.0	0.0	0.0	0.0	0.0	203	46	43	3	160	93.48	21.18	34.54	0	46	203	0.0	0.0	0.0	0.2
04_riboCirc_hsa.fa	cirCodAn	VERT_circ	0.5	1205	1205	0	207	0	977	21	97.9	82.52	89.55	0.0	0.0	977	21	97.9	82.52	89.55	0.0	0.0	1619	998	977	21	642	97.9	60.35	74.67	977	21	642	97.9	60.35	74.67	2.1
04_riboCirc_hsa.fa	CodAn	VERT_full		1205	1205	0	606	0	501	98	83.64	45.26	58.73	0.0	0.0	1	598	0.17	0.16	0.17	0.0	0.0	1619	599	501	98	1118	83.64	30.95	45.18	1	598	1618	0.17	0.06	0.09	2.5
04_riboCirc_hsa.fa	CodAn	VERT_partial		1205	1205	0	250	0	82	873	8.59	24.7	12.74	0.0	0.0	0	955	0.0	0.0	0.0	0.0	0.0	1619	955	82	873	1537	8.59	5.06	6.37	0	955	1619	0.0	0.0	0.0	2.5
04_riboCirc_hsa.fa	ORFfinder			1205	1205	0	22	0	548	635	46.32	96.14	62.52	0.0	0.0	2	1181	0.17	8.33	0.33	0.0	0.0	1619	3982	591	3391	1028	14.84	36.5	21.1	2	3980	1617	0.05	0.12	0.07	0.6
04_riboCirc_hsa.fa	FragGeneScan			1205	1205	0	10	0	139	1056	11.63	93.29	20.68	0.0	0.0	1	1194	0.08	9.09	0.17	0.0	0.0	1619	1375	140	1235	1479	10.18	8.65	9.35	1	1374	1618	0.07	0.06	0.07	1.3
04_riboCirc_hsa.fa	CPAT			1205	1205	0	106	0	985	114	89.63	90.28	89.95	0.0	0.0	1	1098	0.09	0.93	0.17	0.0	0.0	1619	1099	985	114	634	89.63	60.84	72.48	1	1098	1618	0.09	0.06	0.07	0.9
04_riboCirc_hsa.fa	CPC2			1205	1205	0	1028	0	152	25	85.88	12.88	22.4	0.0	0.0	0	177	0.0	0.0	0.0	0.0	0.0	1619	177	152	25	1467	85.88	9.39	16.93	0	177	1619	0.0	0.0	0.0	0.7
06_MStoCIRC_hsa.fa	cirCodAn	VERT_circ	0.5	984	984	0	144	0	724	116	86.19	83.41	84.78	0.0	0.0	724	116	86.19	83.41	84.78	0.0	0.0	1039	840	724	116	315	86.19	69.68	77.06	724	116	315	86.19	69.68	77.06	2.8
06_MStoCIRC_hsa.fa	CodAn	VERT_full		984	984	0	310	0	495	179	73.44	61.49	66.94	0.0	0.0	0	674	0.0	0.0	0.0	0.0	0.0	1039	674	495	179	544	73.44	47.64	57.79	0	674	1039	0.0	0.0	0.0	3.1
06_MStoCIRC_hsa.fa	CodAn	VERT_partial		984	984	0	87	0	38	859	4.24	30.4	7.44	0.0	0.0	0	897	0.0	0.0	0.0	0.0	0.0	1039	897	38	859	1001	4.24	3.66	3.93	0	897	1039	0.0	0.0	0.0	3.1
06_MStoCIRC_hsa.fa	ORFfinder			984	984	0	11	0	340	633	34.94	96.87	51.36	0.0	0.0	0	973	0.0	0.0	0.0	0.0	0.0	1039	4938	342	4596	697	6.93	32.92	11.44	0	4938	1039	0.0	0.0	0.0	0.7
06_MStoCIRC_hsa.fa	FragGeneScan			984	984	0	4	0	50	930	5.1	92.59	9.67	0.0	0.0	0	980	0.0	0.0	0.0	0.0	0.0	1039	1263	50	1213	989	3.96	4.81	4.34	0	1263	1039	0.0	0.0	0.0	1.4
06_MStoCIRC_hsa.fa	CPAT			984	984	0	54	0	721	209	77.53	93.03	84.57	0.0	0.0	0	930	0.0	0.0	0.0	0.0	0.0	1039	930	721	209	318	77.53	69.39	73.24	0	930	1039	0.0	0.0	0.0	1.1
06_MStoCIRC_hsa.fa	CPC2			984	984	0	712	0	190	82	69.85	21.06	32.37	0.0	0.0	0	272	0.0	0.0	0.0	0.0	0.0	1039	272	190	82	849	69.85	18.29	28.99	0	272	1039	0.0	0.0	0.0	0.7
