Condition	Species	riboCIRC_ID	Genome_assembly	Genome_pos	Strand	Spliced_length	Transcript	Symbol	Ensembl	Dataset_count	Evidences	Algorithm
Condition-dependent	Human	hsa_circPRDM2_001	hg38	chr1:13773077-13782831	+	4525	NM_012231	PRDM2	ENSG00000116731	1	3: RPF,cORF,m6A	CIRCexplorer2,DCC
Condition-dependent	Human	hsa_circNBPF1_001	hg38	chr1:16564806-16567351	-	515	NM_017940	NBPF1	ENSG00000219481	2	3: RPF,cORF,m6A	CIRCexplorer2,DCC
Condition-dependent	Human	hsa_circNUDC_001	hg38	chr1:26942659-26943065	+	312	NM_006600	NUDC	ENSG00000090273	2	3: RPF,cORF,m6A	CIRCexplorer2,DCC
Condition-dependent	Human	hsa_circMAN1A2_003	hg38	chr1:117402185-117420649	+	553	NM_006699	MAN1A2	ENSG00000198162	14	4: RPF,cORF,MS,m6A	CIRCexplorer2,DCC,CIRI2
Condition-dependent	Human	hsa_circMAN1A2_004	hg38	chr1:117402185-117442325	+	648	NM_006699	MAN1A2	ENSG00000198162	2	3: RPF,cORF,m6A	CIRCexplorer2
Condition-dependent	Human	hsa_circZNF124_001	hg38	chr1:247159005-247159813	-	188	NM_001243740	ZNF124	ENSG00000196418	1	3: RPF,cORF,m6A	CIRCexplorer2
Condition-dependent	Human	hsa_circCRIM1_001	hg38	chr2:36396613-36396787	+	174	NM_016441	CRIM1	ENSG00000150938	3	3: RPF,cORF,MS	CIRI2
Condition-dependent	Human	hsa_circSLC8A1_002	hg38	chr2:40428472-40430304	-	1832	NM_001112800	SLC8A1	ENSG00000183023	1	4: RPF,cORF,MS,m6A	CIRCexplorer2
Condition-dependent	Human	hsa_circXPO1_004	hg38	chr2:61522610-61526521	-	175	NM_003400	XPO1	ENSG00000082898	3	2: RPF,cORF	CIRCexplorer2,CIRI2
Condition-dependent	Human	hsa_circEHBP1_001	hg38	chr2:62979187-62996766	+	751	NM_001354221	EHBP1	ENSG00000115504	2	4: RPF,cORF,MS,m6A	CIRCexplorer2
Condition-dependent	Human	hsa_circEXOC6B_001	hg38	chr2:72718102-72733118	-	390	NM_001321733	EXOC6B	ENSG00000144036	3	3: RPF,cORF,m6A	CIRI2,CIRCexplorer2
Condition-dependent	Human	hsa_circSLC4A7_001	hg38	chr3:27448650-27452498	-	229	NM_001258379	SLC4A7	ENSG00000033867	1	4: RPF,cORF,MS,m6A	CIRI2,CIRCexplorer2,DCC
Condition-dependent	Human	hsa_circPHLDB2_001	hg38	chr3:111913318-111920419	+	666	NM_145753	PHLDB2	ENSG00000144824	1	3: RPF,cORF,m6A	CIRI2
Condition-dependent	Human	hsa_circZBTB20_001	hg38	chr3:114350273-114351878	-	1605	NM_001164342	ZBTB20	ENSG00000181722	1	4: RPF,cORF,MS,m6A	CIRCexplorer2
Condition-dependent	Human	hsa_circRSRC1_001	hg38	chr3:158122102-158123991	+	322	NM_001271834	RSRC1	ENSG00000174891	5	3: RPF,cORF,m6A	CIRCexplorer2,CIRI2
Condition-dependent	Human	hsa_circUBXN7_001	hg38	chr3:196391812-196403019	-	247	NM_015562	UBXN7	ENSG00000163960	3	3: RPF,cORF,m6A	CIRCexplorer2
Condition-dependent	Human	hsa_circFIP1L1_001	hg38	chr4:53383772-53389873	+	169	NM_030917	FIP1L1	ENSG00000145216	1	3: RPF,cORF,m6A	CIRI2
Condition-dependent	Human	hsa_circLRBA_001	hg38	chr4:150282449-150325898	-	969	NM_001367550	LRBA	ENSG00000198589	2	3: RPF,cORF,m6A	CIRCexplorer2,DCC
Condition-dependent	Human	hsa_circPALLD_001	hg38	chr4:168668189-168711923	+	1056	NM_001166108	PALLD	ENSG00000129116	1	3: RPF,cORF,m6A	CIRCexplorer2
Condition-dependent	Human	hsa_circNEIL3_001	hg38	chr4:177353307-177353728	+	421	NM_018248	NEIL3	ENSG00000109674	1	4: RPF,cORF,MS,m6A	CIRCexplorer2
Condition-dependent	Human	hsa_circFAT1_001	hg38	chr4:186706562-186709845	-	3283	NM_005245	FAT1	ENSG00000083857	1	4: RPF,cORF,MS,m6A	CIRCexplorer2
Condition-dependent	Human	hsa_circOXCT1_001	hg38	chr5:41794002-41807438	-	516	NM_001364299	OXCT1	ENSG00000083720	1	3: RPF,cORF,m6A	CIRCexplorer2
Condition-dependent	Human	hsa_circMEF2C_001	hg38	chr5:88823734-88823927	-	193	NM_001364352	MEF2C	ENSG00000081189	1	3: RPF,cORF,m6A	CIRCexplorer2,DCC
Condition-dependent	Human	hsa_circCSNK1G3_001	hg38	chr5:123545416-123557564	+	536	NM_004384	CSNK1G3	ENSG00000151292	2	3: RPF,cORF,m6A	CIRCexplorer2
