Condition	Species	riboCIRC_ID	Genome_assembly	Genome_pos	Strand	Spliced_length	Transcript	Symbol	Ensembl	Dataset_count	Evidences	Algorithm
Condition-dependent	Mouse	mmu_circRims1_001	mm10	chr1:22346292-22379540	-	516	NM_183018	Rims1	ENSMUSG00000041670	1	3: RPF,cORF,m6A	CIRCexplorer2
Condition-dependent	Mouse	mmu_circPrim2_001	mm10	chr1:33628394-33630433	-	234	NM_008922	Prim2	ENSMUSG00000026134	1	2: RPF,cORF	CIRI2,CIRCexplorer2,DCC
Condition-dependent	Mouse	mmu_circUxs1_001	mm10	chr1:43797244-43807377	-	182	NM_001368288	Uxs1	ENSMUSG00000057363	1	3: RPF,cORF,m6A	CIRCexplorer2,DCC
Condition-dependent	Mouse	mmu_circNdufs1_001	mm10	chr1:63148395-63148571	-	176	NM_001160039	Ndufs1	ENSMUSG00000025968	1	2: RPF,cORF	CIRCexplorer2
Condition-dependent	Mouse	mmu_circPid1_001	mm10	chr1:84159231-84159378	-	147	NM_001003948	Pid1	ENSMUSG00000045658	1	3: RPF,cORF,MS	CIRI2,CIRCexplorer2
Condition-dependent	Mouse	mmu_circGigyf2_002	mm10	chr1:87364103-87380008	+	494	NM_001110212	Gigyf2	ENSMUSG00000048000	5	4: RPF,cORF,MS,m6A	CIRI2,CIRCexplorer2,DCC
Condition-dependent	Mouse	mmu_circPtprc_002	mm10	chr1:138067885-138080270	-	945	NM_001111316	Ptprc	ENSMUSG00000026395	1	3: RPF,cORF,MS	CIRCexplorer2,DCC
Condition-dependent	Mouse	mmu_circDhx9_002	mm10	chr1:153482741-153483872	-	274	NM_007842	Dhx9	ENSMUSG00000042699	1	3: RPF,cORF,m6A	CIRCexplorer2,DCC
Condition-dependent	Mouse	mmu_circDnm3_001	mm10	chr1:162353519-162355509	-	354	NM_001038619	Dnm3	ENSMUSG00000040265	1	2: RPF,cORF	CIRCexplorer2,CIRI2
Condition-dependent	Mouse	mmu_circUck2_001	mm10	chr1:167234691-167237648	-	400	NM_030724	Uck2	ENSMUSG00000026558	1	4: RPF,cORF,MS,m6A	CIRCexplorer2,DCC
Condition-dependent	Mouse	mmu_circMrc1_001	mm10	chr2:14288986-14294944	+	561	NM_008625	Mrc1	ENSMUSG00000026712	1	2: RPF,cORF	CIRI2,CIRCexplorer2
Condition-dependent	Mouse	mmu_circTlk1_001	mm10	chr2:70770003-70786995	-	191	NM_001362963	Tlk1	ENSMUSG00000041997	3	2: RPF,cORF	CIRI2,CIRCexplorer2,DCC
Condition-dependent	Mouse	mmu_circPhf21a_001	mm10	chr2:92214048-92230724	+	396	NM_001346704	Phf21a	ENSMUSG00000058318	5	3: RPF,cORF,m6A	CIRCexplorer2,DCC,CIRI2
Condition-dependent	Mouse	mmu_circTasp1_002	mm10	chr2:140008698-140057499	-	471	NM_001289611	Tasp1	ENSMUSG00000039033	1	3: RPF,cORF,m6A	CIRCexplorer2,DCC
Condition-dependent	Mouse	mmu_circTasp1_003	mm10	chr2:140042093-140057499	-	350	NM_001289611	Tasp1	ENSMUSG00000039033	1	3: RPF,cORF,m6A	CIRCexplorer2,DCC
Condition-dependent	Mouse	mmu_circXrn2_001	mm10	chr2:147024714-147026439	+	283	NM_001356403	Xrn2	ENSMUSG00000027433	1	3: RPF,cORF,m6A	CIRCexplorer2,DCC
