Condition	Species	riboCIRC_ID	Genome_assembly	Genome_pos	Strand	Spliced_length	Transcript	Symbol	Ensembl	Dataset_count	Evidences	Other_ids
Condition-independent	Mouse	mmu_circRims1_001	mm10	chr1:22346292-22379540	-	516	NM_183018	Rims1	ENSMUSG00000041670	1	3: RPF,cORF,m6A	circAtlas:mmu-Rims1_0050,circBase:mmu_circ_0000016,CIRCpedia:MMU_CIRCpedia_13496
Condition-independent	Mouse	mmu_circPhf3_001	mm10	chr1:30837104-30837266	-	162	NM_001081080	Phf3	ENSMUSG00000048874	1	3: RPF,cORF,MS	circAtlas:mmu-Phf3_0007
Condition-independent	Mouse	mmu_circPrim2_001	mm10	chr1:33628394-33630433	-	234	NM_008922	Prim2	ENSMUSG00000026134	1	2: RPF,cORF	circAtlas:mmu-Prim2_0004,circBase:mmu_circ_0008653,CIRCpedia:MMU_CIRCpedia_16952,TSCD:chr1:33628394-33630433
Condition-independent	Mouse	mmu_circMap4k4_001	mm10	chr1:39973926-39990299	+	998	NM_008696	Map4k4	ENSMUSG00000026074	1	2: RPF,cORF	circAtlas:mmu-Map4k4_0003,circBase:mmu_circ_0008729,CIRCpedia:MMU_CIRCpedia_19268
Condition-independent	Mouse	mmu_circNck2_001	mm10	chr1:43509620-43533793	+	405	NM_010879	Nck2	ENSMUSG00000066877	1	3: RPF,cORF,m6A	circAtlas:mmu-Nck2_0002,CIRCpedia:MMU_CIRCpedia_20105
Condition-independent	Mouse	mmu_circMyo1b_001	mm10	chr1:51883082-51883226	-	144	NM_001161817	Myo1b	ENSMUSG00000018417	1	3: RPF,cORF,MS	circAtlas:mmu-Myo1b_0011,CIRCpedia:MMU_CIRCpedia_22226
Condition-independent	Mouse	mmu_circNdufs1_001	mm10	chr1:63148395-63148571	-	176	NM_001160039	Ndufs1	ENSMUSG00000025968	1	2: RPF,cORF	circAtlas:mmu-Ndufs1_0020,circBase:mmu_circ_0000044,CIRCpedia:MMU_CIRCpedia_25487
Condition-independent	Mouse	mmu_circEef1b2_001	mm10	chr1:63178438-63178898	+	194	NM_018796	Eef1b2	ENSMUSG00000025967	1	3: RPF,cORF,m6A	CIRCpedia:MMU_CIRCpedia_213396
Condition-independent	Mouse	mmu_circArpc2_001	mm10	chr1:74248131-74256051	+	440	NM_001357387	Arpc2	ENSMUSG00000006304	1	3: RPF,cORF,m6A	circAtlas:mmu-Arpc2_0001,CIRCpedia:MMU_CIRCpedia_214324
Condition-independent	Mouse	mmu_circWdfy1_001	mm10	chr1:79724644-79726716	-	264	NM_001111279	Wdfy1	ENSMUSG00000073643	1	2: RPF,cORF	CIRCpedia:MMU_CIRCpedia_221335
Condition-independent	Mouse	mmu_circCul3_001	mm10	chr1:80286898-80323056	-	817	NM_016716	Cul3	ENSMUSG00000004364	1	4: RPF,cORF,MS,m6A	circAtlas:mmu-Cul3_0038
Condition-independent	Mouse	mmu_circCol4a4_001	mm10	chr1:82563402-82571535	-	288	NM_007735	Col4a4	ENSMUSG00000067158	1	3: RPF,cORF,m6A	circAtlas:mmu-Col4a4_0003,CIRCpedia:MMU_CIRCpedia_224377
Condition-independent	Mouse	mmu_circPid1_001	mm10	chr1:84159231-84159378	-	147	NM_001003948	Pid1	ENSMUSG00000045658	5	3: RPF,cORF,MS	circAtlas:mmu-Pid1_0001,circBase:mmu_circ_0009007,CIRCpedia:MMU_CIRCpedia_31542
