Condition	Species	riboCIRC_ID	Genome_assembly	Genome_pos	Strand	Spliced_length	Transcript	Symbol	Ensembl	Dataset_count	Evidences	Other_ids
Condition-independent	Human	hsa_circSDF4_001	hg38	chr1:1223243-1223968	-	251	NM_016176	SDF4	ENSG00000078808	2	3: RPF,cORF,m6A	circAtlas:hsa-SDF4_0001,circBank:hsa_circSDF4_003,circBase:hsa_circ_0000002,CIRCpedia:HSA_CIRCpedia_27442,circRNADb:hsa_circ_21644,CSCD:chr1:1223243-1223968,exoRBase:exo_circ_000038
Condition-independent	Human	hsa_circUBE2J2_001	hg38	chr1:1256044-1267992	-	572	NM_194458	UBE2J2	ENSG00000160087	1	2: RPF,cORF	circAtlas:hsa-UBE2J2_0001,circBank:hsa_circUBE2J2_006,circBase:hsa_circ_0009246,CIRCpedia:HSA_CIRCpedia_27520,circRNADb:hsa_circ_16143,CSCD:chr1:1256044-1267992
Condition-independent	Human	hsa_circUBE2J2_002	hg38	chr1:1256991-1267992	-	491	NM_194458	UBE2J2	ENSG00000160087	2	3: RPF,cORF,MS	circAtlas:hsa-UBE2J2_0006,circBank:hsa_circUBE2J2_005,circBase:hsa_circ_0009250,CIRCpedia:HSA_CIRCpedia_27525,circRNADb:hsa_circ_30752,CSCD:chr1:1256991-1267992,exoRBase:exo_circ_043038
Condition-independent	Human	hsa_circVAMP3_001	hg38	chr1:7777159-7778169	+	211	NM_004781	VAMP3	ENSG00000049245	2	3: RPF,cORF,m6A	circAtlas:hsa-VAMP3_0001,circBank:hsa_circVAMP3_004,circBase:hsa_circ_0006354,CIRCpedia:HSA_CIRCpedia_32961,circRNADb:hsa_circ_18051,CSCD:chr1:7777159-7778169,exoRBase:exo_circ_000092
Condition-independent	Human	hsa_circRERE_001	hg38	chr1:8541213-8557523	-	308	NM_012102	RERE	ENSG00000142599	1	3: RPF,cORF,MS	circAtlas:hsa-RERE_0007,circBank:hsa_circRERE_033,circBase:hsa_circ_0002158,CIRCpedia:HSA_CIRCpedia_33039,circRNADb:hsa_circ_08098,CSCD:chr1:8541213-8557523,exoRBase:exo_circ_000402
Condition-independent	Human	hsa_circSLC25A33_001	hg38	chr1:9567283-9570358	+	179	NM_032315	SLC25A33	ENSG00000171612	2	3: RPF,cORF,MS	CIRCpedia:HSA_CIRCpedia_33275,CSCD:chr1:9567283-9570358
Condition-independent	Human	hsa_circLZIC_001	hg38	chr1:9931890-9934860	-	277	NM_001316975	LZIC	ENSG00000162441	1	3: RPF,cORF,MS	circAtlas:hsa-LZIC_0003,circBank:hsa_circLZIC_005,circBase:hsa_circ_0000014,CIRCpedia:HSA_CIRCpedia_33327,circRNADb:hsa_circ_31394,CSCD:chr1:9931890-9934860,exoRBase:exo_circ_000093
Condition-independent	Human	hsa_circLZIC_002	hg38	chr1:9931890-9935627	-	413	NM_001316975	LZIC	ENSG00000162441	1	4: RPF,cORF,MS,m6A	circAtlas:hsa-LZIC_0006,circBank:hsa_circLZIC_004,circBase:hsa_circ_0007803,CIRCpedia:HSA_CIRCpedia_33328,circRNADb:hsa_circ_11549,CSCD:chr1:9931890-9935627,exoRBase:exo_circ_000896
Condition-independent	Human	hsa_circTNFRSF8_001	hg38	chr1:12109565-12110204	+	255	NM_001243	TNFRSF8	ENSG00000120949	1	3: RPF,cORF,m6A	CSCD:chr1:12109565-12110204,exoRBase:exo_circ_027052
Condition-independent	Human	hsa_circTNFRSF8_002	hg38	chr1:12123283-12123827	+	207	NM_001243	TNFRSF8	ENSG00000120949	1	3: RPF,cORF,m6A	circBank:hsa_circTNFRSF8_009,circBase:hsa_circ_0009941,CIRCpedia:HSA_CIRCpedia_27582,circRNADb:hsa_circ_15626,CSCD:chr1:12123283-12123827
Condition-independent	Human	hsa_circVPS13D_001	hg38	chr1:12275824-12278038	+	2214	NM_018156	VPS13D	ENSG00000048707	1	3: RPF,cORF,m6A	circAtlas:hsa-VPS13D_0016,circBank:hsa_circVPS13D_023,circBase:hsa_circ_0009964,CIRCpedia:HSA_CIRCpedia_27594,circRNADb:hsa_circ_00238,CSCD:chr1:12275824-12278038,exoRBase:exo_circ_005998
Condition-independent	Human	hsa_circDHRS3_001	hg38	chr1:12578717-12579412	-	359	NM_004753	DHRS3	ENSG00000162496	1	3: RPF,cORF,m6A	circAtlas:hsa-DHRS3_0003,circBank:hsa_circDHRS3_007,circBase:hsa_circ_0010023,CIRCpedia:HSA_CIRCpedia_27651,circRNADb:hsa_circ_05017,CSCD:chr1:12578717-12579412,exoRBase:exo_circ_012558
Condition-independent	Human	hsa_circPRDM2_001	hg38	chr1:13773077-13782831	+	4525	NM_012231	PRDM2	ENSG00000116731	2	3: RPF,cORF,m6A	circAtlas:hsa-PRDM2_0014,circBank:hsa_circPRDM2_010,circBase:hsa_circ_0110664,CIRCpedia:HSA_CIRCpedia_27672,circRNADb:hsa_circ_09698,CSCD:chr1:13773077-13782831,exoRBase:exo_circ_005878
Condition-independent	Human	hsa_circPRDM2_002	hg38	chr1:13778417-13782831	+	4414	NM_012231	PRDM2	ENSG00000116731	2	3: RPF,cORF,m6A	circAtlas:hsa-PRDM2_0015,circBank:hsa_circPRDM2_011,circBase:hsa_circ_0010029,CIRCpedia:HSA_CIRCpedia_27673,circRNADb:hsa_circ_17781,CSCD:chr1:13778417-13782831,exoRBase:exo_circ_017521
Condition-independent	Human	hsa_circNBPF1_002	hg38	chr1:16565632-16573193	-	671	NM_017940	NBPF1	ENSG00000219481	3	4: RPF,cORF,MS,m6A	CSCD:chr1:16565632-16573193
Condition-independent	Human	hsa_circNBPF1_003	hg38	chr1:16576266-16581492	-	813	NM_017940	NBPF1	ENSG00000219481	13	4: RPF,cORF,MS,m6A	CSCD:chr1:16576266-16581492
Condition-independent	Human	hsa_circNBPF1_004	hg38	chr1:16583593-16589063	-	813	NM_017940	NBPF1	ENSG00000219481	24	2: RPF,cORF	CIRCpedia:HSA_CIRCpedia_357019
Condition-independent	Human	hsa_circCAPZB_001	hg38	chr1:19378539-19385626	-	236	NM_001313932	CAPZB	ENSG00000077549	1	4: RPF,cORF,MS,m6A	circAtlas:hsa-CAPZB_0003,CIRCpedia:HSA_CIRCpedia_29333,CSCD:chr1:19378539-19385626,exoRBase:exo_circ_041905
Condition-independent	Human	hsa_circEIF4G3_001	hg38	chr1:21002712-21111383	-	570	NM_003760	EIF4G3	ENSG00000075151	2	3: RPF,cORF,IRES	circAtlas:hsa-EIF4G3_0081,circBank:hsa_circEIF4G3_012,circBase:hsa_circ_0007227,CIRCpedia:HSA_CIRCpedia_29949,circRNADb:hsa_circ_30936,CSCD:chr1:21002712-21111383
Condition-independent	Human	hsa_circEIF4G3_002	hg38	chr1:21050865-21089213	-	205	NM_001198802	EIF4G3	ENSG00000075151	1	5: RPF,cORF,MS,m6A,IRES	Circ2Disease:hsa_circ_0005075,circAtlas:hsa-EIF4G3_0022,circBank:hsa_circEIF4G3_027,circBase:hsa_circ_0005075,CIRCpedia:HSA_CIRCpedia_29965,circRNADb:hsa_circ_04767,CSCD:chr1:21050865-21089213,exoRBase:exo_circ_005905
Condition-independent	Human	hsa_circKDM1A_001	hg38	chr1:23030468-23050520	+	300	NM_001363654	KDM1A	ENSG00000004487	5	4: RPF,cORF,MS,m6A	circAtlas:hsa-KDM1A_0031,circBank:hsa_circKDM1A_006,circBase:hsa_circ_0009061,CIRCpedia:HSA_CIRCpedia_30626,circRNADb:hsa_circ_07818,exoRBase:exo_circ_000279
Condition-independent	Human	hsa_circKDM1A_002	hg38	chr1:23050386-23059167	+	590	NM_001363654	KDM1A	ENSG00000004487	1	4: RPF,cORF,MS,m6A	circAtlas:hsa-KDM1A_0001,circBank:hsa_circKDM1A_022,circBase:hsa_circ_0003889,CIRCpedia:HSA_CIRCpedia_30637,circRNADb:hsa_circ_21852,exoRBase:exo_circ_001595
